NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Findings,EventID,Latitude,"Longitude ",Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl
DCA24WA052,INC,193562,2023-12-21T22:55:00Z,Billund,Other Foreign,Denmark,,OY-JZN,,false,Aviation,,,,,0,0,0,,,,55.740278000000004,9.1519440000000003,BOEING,737,AIR,,,false,2,,SCHD,,NUSC,None,,Jettime A/S Denmark,Approach,N/A,,Prelim,,None
DCA24LA051,ACC,193561,2023-12-19T18:30:00Z,St. Louis,Missouri,United States,,N8514F,36975,false,Aviation,DirectorBrief,2024-03-12T04:00:00Z,2024-03-12T18:00:00Z,None,0,0,0,A bird strike during climbout.,Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment,,38.747222000000001,-90.361389000000003,BOEING,737,AIR,,,false,2,TF,SCHD,,121,Substantial,VMC,SOUTHWEST AIRLINES CO,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=193561,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193561/pdf
DCA24WA045,INC,193549,2023-12-19T18:00:00Z,Quito,,Ecuador,,HK-5434,,false,Aviation,,,,,0,0,0,,,,-0.1133,-78.358599999999996,BOEING,737,AIR,UIO,Mariscal Sucre International Airport,false,2,,SCHD,,NUSC,None,,Aerosucre,Approach,N/A,,Prelim,,None
DCA24WA059,INC,193606,2023-12-17T15:09:00Z,Brazzaville,Other Foreign,Congo,,TN-AKC,28560,false,Aviation,,,,,0,0,0,,,,-4.2516670000000003,15.253056000000001,BOEING,737,AIR,FCBB,Maya-Maya Airport,false,2,,SCHD,,NUSC,Unknown,,Africa Airlines,Takeoff,N/A,,Prelim,,None
DCA24LA034,INC,193459,2023-11-30T07:14:00Z,Kahului,Hawaii,United States,,N494HA,55182,false,Aviation,,,,Minor,0,0,1,,,,20.899501000000001,-156.42973000000001,BOEING,717-200,AIR,OGG,KAHULUI,false,2,,SCHD,,121,Minor,VMC,Hawaiian Airlines,Taxi,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193459/pdf
ENG24LA009,INC,193615,2023-11-10T08:13:00Z,Schiphol,Other Foreign,Netherlands,,D-AIBG,4841,false,Aviation,,,,,,,,,,,52.299999999999997,4.7699999999999996,AIRBUS,A319,AIR,,,false,2,,SCHD,,NUSC,None,,Lufthansa,Enroute,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193615/pdf
DCA24LA043,INC,193541,2023-10-18T23:55:00Z,Chicago,Illinois,United States,,N30913,35879,false,Aviation,DirectorBrief,2024-03-12T04:00:00Z,2024-03-12T18:00:00Z,None,0,0,0,"The flight crew’s misperception of the distance required to safely pass the hangar and failure to request additional ground handling support while taxiing, which resulted in a collision with a hangar. Contributing to the accident was United Airlines Maintenance Ramp personnel’s ambiguous taxi instructions and lack of obstruction clearance guidance.","Personnel issues - Psychological - Perception/orientation/illusion - Perception - Flight crew, Personnel issues - Task performance - Communication (personnel) - Accuracy of communication - Maintenance personnel",,41.991892999999997,-87.927606999999995,BOEING,787,AIR,ORD,CHICAGO O'HARE INTL,false,2,TF,NSCH,FERY,091,Minor,VMC,UNITED AIRLINES INC,Taxi,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=193541,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193541/pdf
DCA23LA468,ACC,193204,2023-09-30T15:00:00Z,Denver,Colorado,United States,,N37560,67184,false,Aviation,,,,None,0,0,0,,,,39.849311999999998,-104.67382000000001,BOEING,737-9,AIR,KDEN,Denver International,false,2,,SCHD,,121,Substantial,,UNITED AIRLINES INC,Takeoff,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193204/pdf
DCA23LA465,ACC,193179,2023-09-28T08:57:00Z,Ann Arbor,Michigan,United States,,N804AN,40622,false,Aviation,,,,Serious,0,1,0,,,,42.280799999999999,-83.742999999999995,BOEING,787-8,AIR,,,false,2,,SCHD,,121,None,,AMERICAN AIRLINES INC,Enroute,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193179/pdf
DCA23LA462,ACC,193129,2023-09-25T04:00:00Z,Carribean Sea,,Jamaica,,N569JB,2075,false,Aviation,,,,Serious,0,3,4,,,,16.197641000000001,-77.389799999999994,AIRBUS,A320-232,AIR,,,false,2,,SCHD,,121,None,,JETBLUE AIRWAYS CORP,Enroute,In work,,Prelim,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193129/pdf
