NtsbNo,EventType,Mkey,EventDate,City,State,Country,ReportNo,N#,SerialNumber,HasSafetyRec,Mode,ReportType,OriginalPublishedDate,DocketOriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Findings,EventID,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,EngineType,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,BroadPhaseofFlight,ReportStatus,RepGenFlag,MostRecentReportType,DocketUrl,ReportUrl
DCA24LA051,ACC,193561,2023-12-19T18:30:00Z,St. Louis,Missouri,United States,,N8514F,36975,false,Aviation,DirectorBrief,2024-03-12T04:00:00Z,2024-03-12T18:00:00Z,None,0,0,0,A bird strike during climbout.,Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment,,38.747222000000001,-90.361389000000003,BOEING,737,AIR,,,false,2,TF,SCHD,,121,Substantial,VMC,SOUTHWEST AIRLINES CO,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=193561,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193561/pdf
DCA23LA383,ACC,192743,2023-07-24T15:30:00Z,East Palestine,Ohio,United States,,N279WN,32532,false,Aviation,DirectorBrief,2023-10-16T04:00:00Z,2023-10-16T18:00:00Z,Serious,0,1,0,An inadvertent encounter with convectively induced turbulence (CIT) during descent.,"Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Awareness of condition, Personnel issues - Experience/knowledge - Knowledge - Knowledge of meteorologic cond - Flight crew",,40.880000000000003,-80.658000000000001,BOEING,737,AIR,,,false,2,TF,SCHD,,121,None,IMC,SOUTHWEST AIRLINES CO,Approach,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=192743,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192743/pdf
DCA23WA302,INC,106838,2023-03-05T18:05:00Z,Havana,,Cuba,,N8792Q,67774,false,Aviation,,,,,,,,,,,23.108214,-82.377247999999994,BOEING,737-8,AIR,,,false,2,,SCHD,,121,Minor,,SOUTHWEST AIRLINES CO,Initial Climb,N/A,,Prelim,,None
DCA23LA086,ACC,106401,2022-11-30T00:00:00Z,Denver,Colorado,United States,,N946WN,36918,false,Aviation,DirectorBrief,2023-10-16T04:00:00Z,2023-10-16T18:00:00Z,Serious,0,1,1,The flight’s encounter with mechanical turbulence.,"Environmental issues - Conditions/weather/phenomena - Turbulence - Terrain induced turbulence - Effect on personnel, Personnel issues - Action/decision - Action - Forgotten action/omission - Cabin crew",,40.308999999999997,-105.361,BOEING,737,AIR,,,false,2,TF,SCHD,,121,None,VMC,SOUTHWEST AIRLINES CO,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=106401,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/106401/pdf
DCA23LA008,ACC,106083,2022-09-29T10:30:00Z,Denver,Colorado,United States,,N7881A,35084,false,Aviation,DirectorBrief,2023-04-20T04:00:00Z,2023-04-20T19:00:00Z,Serious,0,1,0,An encounter with clear air turbulence during cruise flight.,"Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Awareness of condition, Environmental issues - Conditions/weather/phenomena - Turbulence - Clear air turbulence - Contributed to outcome",,39.861666999999997,-104.67316,BOEING,737,AIR,,,false,2,TF,SCHD,,121,None,VMC,Southwest Airlines,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=106083,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/106083/pdf
DCA22LA151,ACC,105497,2022-07-01T17:21:00Z,Santa Ana,California,United States,,N480WN,33998,false,Aviation,DirectorBrief,2022-08-05T04:00:00Z,2022-08-09T22:00:00Z,Serious,0,1,0,A flight attendant received a serious injury for undetermined reasons during a firm landing.,"Personnel issues - Physical - Impairment/incapacitation - Illness/injury - Cabin crew, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Landing flare - Unknown/Not determined",,33.675700999999997,-117.86799000000001,BOEING,737-700,AIR,sna,John Wayne Orange County Airport,false,2,TF,SCHD,,121,None,VMC,SOUTHWEST AIRLINES CO,Landing,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=105497,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/105497/pdf
DCA22LA134,ACC,105307,2022-05-21T20:00:00Z,Tacoma,Washington,United States,,N256WN,32514,false,Aviation,DirectorBrief,2022-07-20T04:00:00Z,2022-07-20T07:00:00Z,Serious,0,1,0,During cruise flight with no reported turbulence a passenger sustained a serious injury for an unknown reason.,Personnel issues - Miscellaneous - (general) - (general) - Passenger,,47.185699999999997,-122.27370000000001,BOEING,737-700,AIR,,,false,2,TF,SCHD,,121,None,VMC,SOUTHWEST AIRLINES CO,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=105307,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/105307/pdf
DCA22LA012,ACC,104153,2021-10-08T20:30:00Z,Lexington,Virginia,United States,,N8642E,42525,false,Aviation,DirectorBrief,2022-07-19T04:00:00Z,,Serious,0,1,0,The airplane’s inadvertent encounter with convective turbulence.,"Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on operation, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Awareness of condition",,37.799999999999997,-79.099999999999994,BOEING,737-8H4,AIR,,,false,2,TF,SCHD,,121,None,VMC,SOUTHWEST AIRLINES CO,Enroute,Completed,,Final,,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/104153/pdf
DCA22LA001,ACC,104013,2020-07-05T16:00:00Z,Orlando,Florida,United States,,N254WN,32512,false,Aviation,DirectorBrief,2022-07-19T04:00:00Z,2022-07-19T19:00:00Z,Serious,0,1,1,An encounter with moderate turbulence during descent.,Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel,,28.429399,-81.308998000000003,BOEING,737-7H4,AIR,,,false,2,TF,SCHD,,121,None,IMC,SOUTHWEST AIRLINES CO,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=104013,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/104013/pdf
DCA20CA050,ACC,100797,2019-12-21T21:19:00Z,Kansas City,Missouri,United States,,N7739A,35110,false,Aviation,DirectorBrief,2022-04-28T04:00:00Z,2022-08-10T04:00:00Z,None,0,0,0,a bird strike during descent,Aircraft - Aircraft structures - Fuselage - Longerons/stringers (main fus) - Damaged/degraded,,39.101387000000003,-94.477500000000006,Boeing,737,AIR,MCI,Kansas City Intl,false,2,TF,SCHD,,121,Substantial,VMC,Southwest Airlines,Enroute,Completed,,Final,https://data.ntsb.gov/Docket?ProjectID=100797,https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/100797/pdf
