Operator,Standing,Taxi,Takeoff,InitialClimb,Enroute,Approach,Landing
AIR CANADA,0,1,0,1,3,0,1
AIR FRANCE,0,0,0,0,1,1,0
ALLEGIANT AIR ,0,0,0,0,2,1,1
AMERICAN EAGLE,1,2,0,1,3,2,2
ATLAS AIR,0,0,0,0,0,1,2
BRITISH AIRWAYS,0,1,0,0,1,0,0
CONTINENTAL AIRLINES,1,1,1,0,3,0,1
DELTA AIRLINES,5,4,4,9,26,3,5
ENDEAVOR AIRLINES,1,0,1,0,1,0,0
EVA AIR,1,0,0,0,1,0,0
FRONTIER AIRLINES,0,0,0,0,3,1,1
JETBLUE,0,0,2,2,5,4,0
KLM ,0,0,0,0,1,0,0
KOREAN AIRLINES,0,0,0,0,1,0,0
KOREANAIR,0,0,0,0,1,0,0
LUFTHANSA,0,0,0,0,1,0,0
QATAR AIRWAYS,0,0,0,1,2,0,0
RYANAIR,2,0,0,0,0,0,0
SINGAPORE AIRLINES,0,0,0,0,1,0,1
SOUTHWEST AIRLINES,10,7,2,1,31,9,13
SPIRIT AIRLINES,0,0,2,0,3,0,0
UNITED AIRLINES,3,3,3,3,38,1,13
US AIRWAYS,0,0,1,1,3,1,3
WESTJET,1,0,0,0,0,0,0
