"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN24LA077","ACC","193585","2023-12-30T16:00:00Z","Washington","Missouri","United States",,"N678MJ","79-30941","false","Aviation","",,,"Serious","0","1","0",,,,"38.587583000000002","-90.993806000000006","BELLANCA","17-30A","AIR","FYG","Washington Regional","false","1",,"NSCH","PERS","091","Substantial","VMC","PIASA LLC","Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193585/pdf"
"CEN24LA074","ACC","193571","2023-12-26T12:15:00Z","Ponca City","Oklahoma","United States",,"N510P","34-7970268","false","Aviation","DirectorBrief","2024-02-08T05:00:00Z","2024-02-08T18:00:00Z","None","0","0","0","The pilot’s loss of directional control during landing in gusty crosswind conditions.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation, Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Effect on operation",,"36.731954999999999","-97.099782000000005","PIPER","PA-34-200T","AIR","PNC","Ponca City Regional","false","2","REC","NSCH","PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193571","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193571/pdf"
"DCA24WA060","INC","193609","2023-12-23T05:00:00Z","Sydney","Other Foreign","Australia",,"VH-VOL","33759","false","Aviation","",,,,,,,,,,,,"BOEING","737","AIR",,,"false",,,"SCHD",,"129","None",,"Virgin Australia","Approach","N/A",,"Prelim","","None"
"DCA24WA052","INC","193562","2023-12-21T22:55:00Z","Billund","Other Foreign","Denmark",,"OY-JZN",,"false","Aviation","",,,,"0","0","0",,,,"55.740278000000004","9.1519440000000003","BOEING","737","AIR",,,"false","2",,"SCHD",,"NUSC","None",,"Jettime A/S Denmark","Approach","N/A",,"Prelim","","None"
"DCA24LA051","ACC","193561","2023-12-19T18:30:00Z","St. Louis","Missouri","United States",,"N8514F","36975","false","Aviation","DirectorBrief","2024-03-12T04:00:00Z","2024-03-12T18:00:00Z","None","0","0","0","A bird strike during climbout.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment",,"38.747222000000001","-90.361389000000003","BOEING","737","AIR",,,"false","2","TF","SCHD",,"121","Substantial","VMC","SOUTHWEST AIRLINES CO","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193561","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193561/pdf"
"DCA24WA045","INC","193549","2023-12-19T18:00:00Z","Quito",,"Ecuador",,"HK-5434",,"false","Aviation","",,,,"0","0","0",,,,"-0.1133","-78.358599999999996","BOEING","737","AIR","UIO","Mariscal Sucre International Airport","false","2",,"SCHD",,"NUSC","None",,"Aerosucre","Approach","N/A",,"Prelim","","None"
"ENG24WA007","INC","193557","2023-12-18T23:29:00Z","Bella Bella",,"Canada",,"C-GDDJ",,"false","Aviation","",,,"Minor","0","0","5",,,,"52.178991000000003","-128.1422","GRUMMAN","G21","AIR",,,"false","2",,,"UNK","NUSC","Substantial",,"Wilderness Seaplanes Ltd.","Enroute","N/A",,"Prelim","","None"
"DCA24WA059","INC","193606","2023-12-17T15:09:00Z","Brazzaville","Other Foreign","Congo",,"TN-AKC","28560","false","Aviation","",,,,"0","0","0",,,,"-4.2516670000000003","15.253056000000001","BOEING","737","AIR","FCBB","Maya-Maya Airport","false","2",,"SCHD",,"NUSC","Unknown",,"Africa Airlines","Takeoff","N/A",,"Prelim","","None"
"ANC24LA007","ACC","193493","2023-12-06T15:15:00Z","New Stuyahok","Alaska","United States",,"N98RA","BB439","false","Aviation","",,,"None","0","0","0",,,,"59.452500000000001","-157.3775","BEECH","200","AIR","KNW",,"false","2",,"NSCH","UNK","135","Substantial","IMC","DENAINA AIR TAXI LLC","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193493/pdf"
"DCA24WA036","OCC","193488","2023-12-04T12:05:00Z","London","Other Foreign","United Kingdom",,"EI-HET","62310","false","Aviation","",,,,,,,,,,,,"BOEING","737 Max 8-200","AIR",,,"false",,,"SCHD",,"129","None",,"Ryan Air","Approach","N/A",,"Prelim","","None"
"DCA24WA040","OCC","193498","2023-12-01T08:00:00Z","East Midlands","Other Foreign","United Kingdom",,"G-JMCV","24128","false","Aviation","",,,,,,,,,,,,"BOEING","737","AIR",,,"false",,,"SCHD",,"129","None",,"West Atlantic Airlines","Takeoff","N/A",,"Prelim","","None"
"ERA24LA056","ACC","193478","2023-11-30T14:18:00Z","Atlanta","Georgia","United States",,"N800SD","RK-270","false","Aviation","",,,"None","0","0","0",,,,"33.876002","-84.302030999999999","RAYTHEON AIRCRAFT COMPANY","400A","AIR","PDK","DEKALB-PEACHTREE","false","2",,"NSCH","POSI","091","Substantial","VMC","AIRCRAFT CHARTER GROUP LLC","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193478/pdf"
"DCA24LA034","INC","193459","2023-11-30T07:14:00Z","Kahului","Hawaii","United States",,"N494HA","55182","false","Aviation","",,,"Minor","0","0","1",,,,"20.899501000000001","-156.42973000000001","BOEING","717-200","AIR","OGG","KAHULUI","false","2",,"SCHD",,"121","Minor","VMC","Hawaiian Airlines","Taxi","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193459/pdf"
"CEN24LA054","ACC","193463","2023-11-26T17:40:00Z","Council Bluffs","Iowa","United States",,"N475CW","560-5080","false","Aviation","DirectorBrief","2024-02-29T05:00:00Z","2024-02-29T18:00:00Z","None","0","0","0","An in-flight collision with a bird during decent.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment, Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Response/compensation",,"41.172801999999997","-95.804000000000002","CESSNA","560XL","AIR",,,"false","2","TF","NSCH","UNK","135","Substantial","VMC","Ultra Air, LLC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193463","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193463/pdf"
"CEN24FA046","ACC","193422","2023-11-26T11:00:00Z","Ludington","Michigan","United States",,"N850JH","448","false","Aviation","",,,"Fatal","2","0","0",,,,"43.96801","-86.402429999999995","SOCATA","TBM 700","AIR","LDM","Mason County Airport","false","1",,"NSCH","PERS","091","Destroyed","IMC","BGD LLC","Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193422/pdf"
"CEN24LA044","ACC","193417","2023-11-22T13:15:00Z","DeWitt","Arkansas","United States",,"N84692","7AC-3401","false","Aviation","DirectorBrief","2024-01-04T05:00:00Z","2024-01-04T18:00:00Z","Minor","0","0","1","The pilot’s loss of airplane directional control while landing.","Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained",,"34.262278000000002","-91.307500000000005","AERONCA","7AC","AIR","5M1","Dewitt Municipal","false","1","REC","NSCH","PERS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=193417","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193417/pdf"
"ENG24LA009","INC","193615","2023-11-10T08:13:00Z","Schiphol","Other Foreign","Netherlands",,"D-AIBG","4841","false","Aviation","",,,,,,,,,,"52.299999999999997","4.7699999999999996","AIRBUS","A319","AIR",,,"false","2",,"SCHD",,"NUSC","None",,"Lufthansa","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193615/pdf"
"ENG24WA004","INC","193364","2023-11-07T21:25:00Z","Addis Ababa","Other Foreign","Ethiopia",,"ET-AXK","62175","false","Aviation","",,,,,,,,,,,,"BOEING","787","AIR",,,"false",,,"SCHD",,"NUSC","Minor",,"Ethiopian Airlines","Enroute","N/A",,"Prelim","","None"
